sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
VEG-BGT-BW-12-2,Vegware,Tall Bowl,Plates & Trays,,,Bagasse,25.43,500,Case (500): £25.43 | Pack (50): £5.95,"The Vegware bagasse Tall Bowl is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A deep bowl designed for soups, salads, rice, noodle dishes, and stews. Generous depth keeps liquid foods contained. Sturdy walls prevent flexing when held.",Vegware bagasse Tall Bowl.,"Vegware bagasse Tall Bowl - deep bowl for soups, salads, rice, and noodle dishes. Ideal for buffets, events, street food markets, and catering.",Vegware Tall Bowl Bagasse | Afida,Shop Vegware bagasse Tall Bowl. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-BGT-BW-12,Vegware,Wide Bowl,Plates & Trays,,,Bagasse,25.43,500,Case (500): £25.43 | Pack (50): £5.95,"The Vegware bagasse Wide Bowl is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A deep bowl designed for soups, salads, rice, noodle dishes, and stews. Generous depth keeps liquid foods contained. Sturdy walls prevent flexing when held.",Vegware bagasse Wide Bowl.,"Vegware bagasse Wide Bowl - deep bowl for soups, salads, rice, and noodle dishes. Ideal for buffets, events, street food markets, and catering.",Vegware Wide Bowl Bagasse | Afida,Shop Vegware bagasse Wide Bowl. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-BGT-BW-14,Vegware,Wide Bowl,Plates & Trays,,,Bagasse,31.44,500,Case (500): £31.44 | Pack (50): £7.36,"The Vegware bagasse Wide Bowl is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A deep bowl designed for soups, salads, rice, noodle dishes, and stews. Generous depth keeps liquid foods contained. Sturdy walls prevent flexing when held.",Vegware bagasse Wide Bowl.,"Vegware bagasse Wide Bowl - deep bowl for soups, salads, rice, and noodle dishes. Ideal for buffets, events, street food markets, and catering.",Vegware Wide Bowl Bagasse | Afida,Shop Vegware bagasse Wide Bowl. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-BGT-PL-4,Vegware,Plate,Plates & Trays,6in,,Bagasse,38.00,1000,Case (1000): £38.00 | Pack (125): £10.18,"The Vegware 6in bagasse Plate is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A sturdy plate designed for substantial portions. Rigid construction holds hot and cold foods without bending or warping. Grease-resistant surface keeps food presentable. Certified compostable - breaks down in industrial composting facilities.",Vegware 6in bagasse Plate. Compostable.,"Vegware 6in bagasse Plate - sturdy plate that holds substantial portions without bending. Compostable. Ideal for buffets, events, street food markets, and catering.",Vegware Plate 6in Compostable | Afida,Shop Vegware 6in bagasse Plate - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGT-SQ-3,Vegware,Square Plate,Plates & Trays,,,Bagasse,30.36,500,Case (500): £30.36 | Pack (50): £7.03,"The Vegware bagasse Square Plate is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A sturdy plate designed for substantial portions. Rigid construction holds hot and cold foods without bending or warping. Grease-resistant surface keeps food presentable.",Vegware bagasse Square Plate.,"Vegware bagasse Square Plate - sturdy plate that holds substantial portions without bending. Ideal for buffets, events, street food markets, and catering.",Vegware Square Plate Bagasse | Afida,Shop Vegware bagasse Square Plate. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-BGT-PL-3,Vegware,Plate,Plates & Trays,,,Bagasse,25.34,500,,"The Vegware bagasse Plate is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A sturdy plate designed for substantial portions. Rigid construction holds hot and cold foods without bending or warping. Grease-resistant surface keeps food presentable.",Vegware bagasse Plate.,"Vegware bagasse Plate - sturdy plate that holds substantial portions without bending. Ideal for buffets, events, street food markets, and catering.",Vegware Plate Bagasse | Afida,Shop Vegware bagasse Plate. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-BGT-PL-RD-2,Vegware,Source-Reduced Plate,Plates & Trays,7in,,Bagasse,22.82,500,Case (500): £22.82 | Pack (50): £5.25,"The Vegware 7in bagasse Source-Reduced Plate is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A sturdy plate designed for substantial portions. Rigid construction holds hot and cold foods without bending or warping. Grease-resistant surface keeps food presentable. Certified compostable - breaks down in industrial composting facilities.",Vegware 7in bagasse Source-Reduced Plate. Compostable.,"Vegware 7in bagasse Source-Reduced Plate - sturdy plate that holds substantial portions without bending. Compostable. Ideal for buffets, events, street food markets, and catering.",Vegware Source-Reduced Plate 7in Compostable | Afida,Shop Vegware 7in bagasse Source-Reduced Plate - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGT-SQ-2,Vegware,Square Plate,Plates & Trays,,,Bagasse,39.59,500,Case (500): £39.59 | Pack (50): £9.08,"The Vegware bagasse Square Plate is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A sturdy plate designed for substantial portions. Rigid construction holds hot and cold foods without bending or warping. Grease-resistant surface keeps food presentable.",Vegware bagasse Square Plate.,"Vegware bagasse Square Plate - sturdy plate that holds substantial portions without bending. Ideal for buffets, events, street food markets, and catering.",Vegware Square Plate Bagasse | Afida,Shop Vegware bagasse Square Plate. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-BGT-PL-2,Vegware,Plate,Plates & Trays,9in,,Bagasse,39.21,500,Case (500): £39.21 | Pack (50): £9.43,"The Vegware 9in bagasse Plate is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A sturdy plate designed for substantial portions. Rigid construction holds hot and cold foods without bending or warping. Grease-resistant surface keeps food presentable. Certified compostable - breaks down in industrial composting facilities.",Vegware 9in bagasse Plate. Compostable.,"Vegware 9in bagasse Plate - sturdy plate that holds substantial portions without bending. Compostable. Ideal for buffets, events, street food markets, and catering.",Vegware Plate 9in Compostable | Afida,Shop Vegware 9in bagasse Plate - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGT-PL-RD,Vegware,Source-Reduced Plate,Plates & Trays,,,Bagasse,35.30,500,Case (500): £35.30 | Pack (50): £8.52,"The Vegware bagasse Source-Reduced Plate is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A sturdy plate designed for substantial portions. Rigid construction holds hot and cold foods without bending or warping. Grease-resistant surface keeps food presentable.",Vegware bagasse Source-Reduced Plate.,"Vegware bagasse Source-Reduced Plate - sturdy plate that holds substantial portions without bending. Ideal for buffets, events, street food markets, and catering.",Vegware Source-Reduced Plate Bagasse | Afida,Shop Vegware bagasse Source-Reduced Plate. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-PLT-4,Vegware,Large Platter Box and Insert,Plates & Trays,,,,52.77,25,,"The Vegware Large Platter Box and Insert. A platter box insert that divides the platter into organised compartments. Keeps different food items separated for a clean, professional presentation. Fits compatible platter boxes. Ideal for buffets, events, street food markets, and catering.",Vegware Large Platter Box and Insert.,"Vegware Large Platter Box and Insert - platter box insert for organised compartmented food presentation. Ideal for buffets, events, street food markets, and catering.",Vegware Large Platter Box and Insert | Afida,Shop Vegware Large Platter Box and Insert. Cases of 25. Free UK delivery over £100. Order at Afida.,
VEG-PLT-2,Vegware,Platter Box Eighth Insert,Plates & Trays,,,,17.51,50,,"The Vegware Platter Box Eighth Insert. A platter box insert that divides the platter into organised compartments. Keeps different food items separated for a clean, professional presentation. Fits compatible platter boxes. Ideal for buffets, events, street food markets, and catering.",Vegware Platter Box Eighth Insert.,"Vegware Platter Box Eighth Insert - platter box insert for organised compartmented food presentation. Ideal for buffets, events, street food markets, and catering.",Vegware Platter Box Eighth Insert | Afida,Shop Vegware Platter Box Eighth Insert. Cases of 50. Free UK delivery over £100. Order at Afida.,
VEG-PLT-5,Vegware,Platter Box Half Insert,Plates & Trays,,,,26.03,50,,"The Vegware Platter Box Half Insert. A platter box insert that divides the platter into organised compartments. Keeps different food items separated for a clean, professional presentation. Fits compatible platter boxes. Ideal for buffets, events, street food markets, and catering.",Vegware Platter Box Half Insert.,"Vegware Platter Box Half Insert - platter box insert for organised compartmented food presentation. Ideal for buffets, events, street food markets, and catering.",Vegware Platter Box Half Insert | Afida,Shop Vegware Platter Box Half Insert. Cases of 50. Free UK delivery over £100. Order at Afida.,
VEG-PLT-3,Vegware,Platter Box Quarter Insert,Plates & Trays,,,,19.70,50,,"The Vegware Platter Box Quarter Insert. A platter box insert that divides the platter into organised compartments. Keeps different food items separated for a clean, professional presentation. Fits compatible platter boxes. Ideal for buffets, events, street food markets, and catering.",Vegware Platter Box Quarter Insert.,"Vegware Platter Box Quarter Insert - platter box insert for organised compartmented food presentation. Ideal for buffets, events, street food markets, and catering.",Vegware Platter Box Quarter Insert | Afida,Shop Vegware Platter Box Quarter Insert. Cases of 50. Free UK delivery over £100. Order at Afida.,
VEG-PLT-6,Vegware,Regular Platter Box,Plates & Trays,2cm,,,72.83,50,,"The Vegware 2cm Regular Platter Box. A large-format platter box designed for sharing platters, buffets, and catering displays. Sturdy construction supports the weight of loaded platters. The lid keeps contents fresh and protected during transport.",Vegware 2cm Regular Platter Box.,"Vegware 2cm Regular Platter Box - platter box for sharing platters, buffets, and catering displays. Ideal for buffets, events, street food markets, and catering.",Vegware Regular Platter Box 2cm | Afida,Shop Vegware 2cm Regular Platter Box. Cases of 50. Free UK delivery over £100. Order at Afida.,
STR-12-WH,,Red/ Angle-Cut Straws,Straws,12 mm,White,Paper,61.60,3000,,"The 12 mm white paper Red/ Angle-Cut Straws is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Both compostable and recyclable, giving multiple end-of-life options. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",12 mm white paper Red/ Angle-Cut Straws. Compostable and recyclable.,"12 mm white paper Red/ Angle-Cut Straws - paper straw for everyday drinks service. Food-safe and sturdy. Compostable and recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Red/ Angle-Cut Straws 12 mm Compostable | Afida,Shop 12 mm paper Red/ Angle-Cut Straws - compostable & recyclable. Cases of 3000. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
STR-CK-6-BK,,Cocktail Straw Food-Safe,Straws,6mm / 140mm,Black,Paper,36.80,5000,,"The 6mm / 140mm black paper Cocktail Straw Food-Safe is made from responsibly sourced paper. A slim cocktail straw for stirring and sipping drinks. The narrow diameter is designed for cocktails, short drinks, and espresso-based beverages. Holds its shape throughout the drink. Fully recyclable through standard paper or plastic recycling streams.",6mm / 140mm black paper Cocktail Straw Food-Safe. Recyclable.,"6mm / 140mm black paper Cocktail Straw Food-Safe - slim cocktail straw for stirring and sipping. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Cocktail Straw Food-Safe 6mm / 140mm Recyclable | Afida,Shop 6mm / 140mm paper Cocktail Straw Food-Safe - recyclable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Recyclable
STR-6-BK-2,,Black/ Straw Food-Safe,Straws,6mm / 200mm / 6 mm,White,Paper,40.60,5000,,"The 6mm / 200mm / 6 mm white paper Black/ Straw Food-Safe is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Fully recyclable through standard paper or plastic recycling streams. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",6mm / 200mm / 6 mm white paper Black/ Straw Food-Safe. Recyclable.,"6mm / 200mm / 6 mm white paper Black/ Straw Food-Safe - paper straw for everyday drinks service. Food-safe and sturdy. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Black/ Straw Food-Safe 6mm / 200mm / 6 mm Recyclable | Afida,Shop 6mm / 200mm / 6 mm paper Black/ Straw Food-Safe - recyclable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Recyclable
STR-6-WH,,Blue/ Straw Food-Safe,Straws,6mm / 200mm / 6 mm,White,Paper,52.00,5000,,"The 6mm / 200mm / 6 mm white paper Blue/ Straw Food-Safe is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Fully recyclable through standard paper or plastic recycling streams. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",6mm / 200mm / 6 mm white paper Blue/ Straw Food-Safe. Recyclable.,"6mm / 200mm / 6 mm white paper Blue/ Straw Food-Safe - paper straw for everyday drinks service. Food-safe and sturdy. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Blue/ Straw Food-Safe 6mm / 200mm / 6 mm Recyclable | Afida,Shop 6mm / 200mm / 6 mm paper Blue/ Straw Food-Safe - recyclable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Recyclable
STR-10,,Bright Colour Straw Food-Safe,Straws,10mm / 200mm / 10 mm,,Paper,48.20,1600,,"The 10mm / 200mm / 10 mm paper Bright Colour Straw Food-Safe is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Fully recyclable through standard paper or plastic recycling streams. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",10mm / 200mm / 10 mm paper Bright Colour Straw Food-Safe. Recyclable.,"10mm / 200mm / 10 mm paper Bright Colour Straw Food-Safe - paper straw for everyday drinks service. Food-safe and sturdy. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Bright Colour Straw Food-Safe 10mm / 200mm / 10 mm | Afida,Shop 10mm / 200mm / 10 mm paper Bright Colour Straw Food-Safe - recyclable. Cases of 1600. Free UK delivery over £100. Order at Afida.,Recyclable
STR-6-WH-3,,Green/ Straw Food-Safe,Straws,6mm / 200mm / 6 mm,White,Paper,52.00,5000,,"The 6mm / 200mm / 6 mm white paper Green/ Straw Food-Safe is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Fully recyclable through standard paper or plastic recycling streams. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",6mm / 200mm / 6 mm white paper Green/ Straw Food-Safe. Recyclable.,"6mm / 200mm / 6 mm white paper Green/ Straw Food-Safe - paper straw for everyday drinks service. Food-safe and sturdy. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Green/ Straw Food-Safe 6mm / 200mm / 6 mm Recyclable | Afida,Shop 6mm / 200mm / 6 mm paper Green/ Straw Food-Safe - recyclable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Recyclable
STR-8-WH-2,,Jumbo Straw Wrapped 7.8,Straws,8mm,White,Paper,91.86,3000,,"The 8mm white paper Jumbo Straw Wrapped 7.8 is made from responsibly sourced paper. A wide-bore paper straw designed for smoothies, milkshakes, thick shakes, and frozen drinks. The larger diameter allows thick liquids to flow freely. Holds its shape for over 60 minutes in cold beverages. Both compostable and recyclable, giving multiple end-of-life options.",8mm white paper Jumbo Straw Wrapped 7.8. Compostable and recyclable.,"8mm white paper Jumbo Straw Wrapped 7.8 - wide-bore straw for smoothies, milkshakes, and thick drinks. Compostable and recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Jumbo Straw Wrapped 7.8 8mm Compostable | Afida,Shop 8mm paper Jumbo Straw Wrapped 7.8 - compostable & recyclable. Cases of 3000. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
STR-SP-8-WH,,Red/ Spoon Straw Food-Safe,Straws,,White,Paper,62.30,5000,,"The white paper Red/ Spoon Straw Food-Safe is made from responsibly sourced paper. A deep-bowled spoon that holds soups, stews, porridge, and liquid foods securely. Well-balanced and comfortable to use. Certified compostable - breaks down in industrial composting facilities. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",white paper Red/ Spoon Straw Food-Safe. Compostable.,"white paper Red/ Spoon Straw Food-Safe - deep-bowled spoon for soups, stews, and liquid foods. Compostable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Red/ Spoon Straw Food-Safe Compostable | Afida,Shop paper Red/ Spoon Straw Food-Safe - compostable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Compostable
STR-6-WH-2,,Red/ Straw Food-Safe,Straws,6mm / 200mm / 6 mm,White,Paper,52.00,5000,,"The 6mm / 200mm / 6 mm white paper Red/ Straw Food-Safe is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Fully recyclable through standard paper or plastic recycling streams. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",6mm / 200mm / 6 mm white paper Red/ Straw Food-Safe. Recyclable.,"6mm / 200mm / 6 mm white paper Red/ Straw Food-Safe - paper straw for everyday drinks service. Food-safe and sturdy. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Red/ Straw Food-Safe 6mm / 200mm / 6 mm Recyclable | Afida,Shop 6mm / 200mm / 6 mm paper Red/ Straw Food-Safe - recyclable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Recyclable
VEG-STR-9-GN,Vegware,Bubble Tea Green Stripe Straw,Straws,12 mm / 9″,,Paper,68.45,1200,Case of 1200: £68.45 | Pack of 100: £11.99,"The Vegware 12 mm / 9″ paper Bubble Tea Green Stripe Straw is made from responsibly sourced paper. An extra-wide paper straw designed specifically for bubble tea and boba drinks. The oversized diameter allows tapioca pearls and jelly toppings to pass through. Holds its shape in cold beverages. Both compostable and recyclable, giving multiple end-of-life options. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware 12 mm / 9″ paper Bubble Tea Green Stripe Straw. Compostable and recyclable.,"Vegware 12 mm / 9″ paper Bubble Tea Green Stripe Straw - extra-wide straw for bubble tea and boba drinks. Fits tapioca pearls. Compostable and recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware Bubble Tea Green Stripe Straw 12 mm / 9″ | Afida,Shop Vegware 12 mm / 9″ paper Bubble Tea Green Stripe Straw - compostable & recyclable. Cases of 1200. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
VEG-STR-CK-6-BK-2,Vegware,Cocktail Straw,Straws,6mm,Black,Paper,89.99,5000,Case of 5000: £89.99 | Pack of 250: £10.93,"The Vegware 6mm black paper Cocktail Straw is made from responsibly sourced paper. A slim cocktail straw for stirring and sipping drinks. The narrow diameter is designed for cocktails, short drinks, and espresso-based beverages. Holds its shape throughout the drink. Certified compostable - breaks down in industrial composting facilities.",Vegware 6mm black paper Cocktail Straw. Compostable.,"Vegware 6mm black paper Cocktail Straw - slim cocktail straw for stirring and sipping. Compostable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware Cocktail Straw 6mm Compostable | Afida,Shop Vegware 6mm paper Cocktail Straw - compostable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-STR-6-BK-3,Vegware,Highball Straw,Straws,6mm,Black,Paper,96.69,5000,Case of 5000: £96.69 | Pack of 250: £11.62,"The Vegware 6mm black paper Highball Straw is made from responsibly sourced paper. A standard-length paper straw sized for highball glasses, tall drinks, and long cocktails. Holds its shape for the duration of a drink without going soggy. Certified compostable - breaks down in industrial composting facilities. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware 6mm black paper Highball Straw. Compostable.,"Vegware 6mm black paper Highball Straw - standard-length straw for highball glasses and tall drinks. Compostable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware Highball Straw 6mm Compostable | Afida,Shop Vegware 6mm paper Highball Straw - compostable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-STR-10-GN,Vegware,Jumbissimo Green Stripe Straw,Straws,10mm,,Paper,53.67,1600,Case of 1600: £53.67 | Pack of 80: £6.12,"The Vegware 10mm paper Jumbissimo Green Stripe Straw is made from responsibly sourced paper. A wide-bore paper straw designed for smoothies, milkshakes, thick shakes, and frozen drinks. The larger diameter allows thick liquids to flow freely. Holds its shape for over 60 minutes in cold beverages. Certified compostable - breaks down in industrial composting facilities.",Vegware 10mm paper Jumbissimo Green Stripe Straw. Compostable.,"Vegware 10mm paper Jumbissimo Green Stripe Straw - wide-bore straw for smoothies, milkshakes, and thick drinks. Compostable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware Jumbissimo Green Stripe Straw 10mm | Afida,Shop Vegware 10mm paper Jumbissimo Green Stripe Straw - compostable. Cases of 1600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-STR-8-GN,Vegware,Jumbo Green Stripe Straw,Straws,8mm,,Paper,73.56,3000,,"The Vegware 8mm paper Jumbo Green Stripe Straw is made from responsibly sourced paper. A wide-bore paper straw designed for smoothies, milkshakes, thick shakes, and frozen drinks. The larger diameter allows thick liquids to flow freely. Holds its shape for over 60 minutes in cold beverages. Certified compostable - breaks down in industrial composting facilities.",Vegware 8mm paper Jumbo Green Stripe Straw. Compostable.,"Vegware 8mm paper Jumbo Green Stripe Straw - wide-bore straw for smoothies, milkshakes, and thick drinks. Compostable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware Jumbo Green Stripe Straw 8mm Compostable | Afida,Shop Vegware 8mm paper Jumbo Green Stripe Straw - compostable. Cases of 3000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-STR-6-GN,Vegware,Standard Green Stripe Straw,Straws,6mm,,Paper,102.71,5000,Case of 5000: £102.71 | Pack of 250: £12.36,"The Vegware 6mm paper Standard Green Stripe Straw is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Certified compostable - breaks down in industrial composting facilities. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware 6mm paper Standard Green Stripe Straw. Compostable.,"Vegware 6mm paper Standard Green Stripe Straw - paper straw for everyday drinks service. Food-safe and sturdy. Compostable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Vegware Standard Green Stripe Straw 6mm Compostable | Afida,Shop Vegware 6mm paper Standard Green Stripe Straw - compostable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Compostable
STR-CK-6-WH,,Cocktail Straw Food-Safe,Straws,6mm / 140mm,White,Paper,36.80,5000,,"The 6mm / 140mm white paper Cocktail Straw Food-Safe is made from responsibly sourced paper. A slim cocktail straw for stirring and sipping drinks. The narrow diameter is designed for cocktails, short drinks, and espresso-based beverages. Holds its shape throughout the drink. Fully recyclable through standard paper or plastic recycling streams.",6mm / 140mm white paper Cocktail Straw Food-Safe. Recyclable.,"6mm / 140mm white paper Cocktail Straw Food-Safe - slim cocktail straw for stirring and sipping. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Cocktail Straw Food-Safe 6mm / 140mm Recyclable | Afida,Shop 6mm / 140mm paper Cocktail Straw Food-Safe - recyclable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Recyclable
STR-10-WH,,Straw Food-Safe,Straws,10mm / 200mm / 10 mm,White,Paper,33.28,1600,,"The 10mm / 200mm / 10 mm white paper Straw Food-Safe is made from responsibly sourced paper. A paper straw for everyday drinks service. Food-safe inks and glue. Holds its shape for the duration of a standard drink. A straightforward, compliant alternative to plastic straws. Fully recyclable through standard paper or plastic recycling streams. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",10mm / 200mm / 10 mm white paper Straw Food-Safe. Recyclable.,"10mm / 200mm / 10 mm white paper Straw Food-Safe - paper straw for everyday drinks service. Food-safe and sturdy. Recyclable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Straw Food-Safe 10mm / 200mm / 10 mm Recyclable | Afida,Shop 10mm / 200mm / 10 mm paper Straw Food-Safe - recyclable. Cases of 1600. Free UK delivery over £100. Order at Afida.,Recyclable
STR-200-WH,,Straws Individually Wrapped ×,Straws,,White,Paper,65.60,5000,,"The white paper Straws Individually Wrapped × is made from responsibly sourced paper. An individually wrapped paper straw for hygienic, single-use service. The wrapper keeps the straw clean until the customer opens it. Ideal for delivery, room service, and self-service stations. Certified compostable - breaks down in industrial composting facilities.",white paper Straws Individually Wrapped ×. Compostable.,"white paper Straws Individually Wrapped × - individually wrapped paper straw for hygienic service. Compostable. Ideal for cafés, juice bars, restaurants, pubs, and event catering.",Straws Individually Wrapped × Compostable | Afida,Shop paper Straws Individually Wrapped × - compostable. Cases of 5000. Free UK delivery over £100. Order at Afida.,Compostable
PIZ-KR,,Pizza Box,Takeaway Boxes,,Brown,Kraft,20.25,75,,"The brown kraft Pizza Box is constructed from kraft board, an unbleached paper with natural strength. A corrugated kraft pizza box built for delivery and collection. Strong enough to stack without crushing, while retaining heat during transit. Vented to allow steam to escape, preventing sogginess. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",brown kraft Pizza Box.,"brown kraft Pizza Box - corrugated kraft pizza box. Strong enough to stack without crushing. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",Pizza Box Kraft | Afida,Shop kraft Pizza Box. Cases of 75. Free UK delivery over £100. Order at Afida.,
FNC-4,,Leakproof Pots with Lids,Takeaway Boxes,,,Paper,17.60,250,,"The paper Leakproof Pots with Lids is made from responsibly sourced paper. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Fully recyclable through standard paper or plastic recycling streams. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",paper Leakproof Pots with Lids. Recyclable.,"paper Leakproof Pots with Lids - secure-fit lid for portion pots. Clear for easy content identification. Recyclable. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",Leakproof Pots with Lids Recyclable | Afida,Shop paper Leakproof Pots with Lids - recyclable. Cases of 250. Free UK delivery over £100. Order at Afida.,Recyclable
PIZ-BG-5-BK,,Folded Board Burger Tray,Takeaway Boxes,5″,Black,,19.20,500,,"The 5″ black Folded Board Burger Tray. A folded board tray that ships flat and pops open for service. Ideal for chips, loaded fries, wraps, and quick-service food items. The raised edges contain food and sauces. Fully recyclable through standard paper or plastic recycling streams.",5″ black Folded Board Burger Tray. Recyclable.,"5″ black Folded Board Burger Tray - folded board tray for chips, wraps, and quick-service items. Recyclable. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",Folded Board Burger Tray 5″ Recyclable | Afida,Shop 5″ Folded Board Burger Tray - recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,Recyclable
FNC-7,,Leakproof Pots with Lids,Takeaway Boxes,,,Paper,19.20,250,,"The paper Leakproof Pots with Lids is made from responsibly sourced paper. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Fully recyclable through standard paper or plastic recycling streams. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",paper Leakproof Pots with Lids. Recyclable.,"paper Leakproof Pots with Lids - secure-fit lid for portion pots. Clear for easy content identification. Recyclable. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",Leakproof Pots with Lids Recyclable | Afida,Shop paper Leakproof Pots with Lids - recyclable. Cases of 250. Free UK delivery over £100. Order at Afida.,Recyclable
MFB-BG-BK-2,,Burger Box,Takeaway Boxes,,Black,Kraft,23.98,200,,"The black kraft Burger Box is constructed from kraft board, an unbleached paper with natural strength. Hinged lid opens flat for easy loading and closes firmly to keep burgers warm and secure. Grease-resistant construction handles sauces and toppings without softening. Fits standard burger buns with room for fillings. Fully recyclable through standard paper or plastic recycling streams. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",black kraft Burger Box. Recyclable.,"black kraft Burger Box - sturdy construction holds burgers securely. Grease-resistant and keeps contents warm. Recyclable. Built for takeaways, delivery services, fish and chip shops, and street food vendors.",Burger Box Recyclable | Afida,Shop kraft Burger Box - recyclable. Cases of 200. Free UK delivery over £100. Order at Afida.,Recyclable
